等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
初级,"1.低碳钢或低合金钢板角接或Ｔ形接头平焊焊条电弧焊
",1.1 焊前准备,1.1.1 安全检查,（1）焊条电弧焊的原理、特点及应用,,操作+讲解,240
,,,,"（2）焊条电弧焊设备
①焊机
②焊接电缆
③焊钳                                
④变位机械
⑤焊条烘干箱",,,
,,,,"（3）焊条电弧焊焊接参数
①电源极性
②焊条直径
③焊接电流
④焊接速度
⑤焊接层数",,,
,,,,"（4）焊条                               ①焊条组成及作用
②焊条分类及作用
③焊条牌号及型号
④焊条选用
⑤焊条烘干与保存                            ",,,
,,,,（5）焊条电弧焊常用工机具,,,
,,,,"（6）焊条电弧焊常用夹具
①拉紧器     
②管口钳",,,
,,,,"（7）设备工机具安全检查
①焊机安全检查
②电焊钳安全检查
③焊接电缆安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,180
,,,,"（8）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,240
,,,,"（9）工作环境安全检查
①高空安全防护
②通风和消防",,,120
,,,1.1.2 坡口准备及定位,"（10）焊前清理
①清理范围
②清理方法",,,
,,,,（11）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,操作+PPT+讲解,
,,,,,,,60
,,,,,,,300
,,,,,,,120
,,,,（12）工件组对和定位焊,,,60
,,,1.1.3 预留反变形量,"（13）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,PPT＋讲解,240
,,1.2 焊接操作,1.2.1 焊接参数选择,"（14）焊接参数选择与调节
①焊缝层次和焊道数
②焊条直径选择
③焊接电流选择
④运条方法选择                                        ⑤了解焊接参数对焊缝成形的影响",,PPT＋讲解,300
,,,1.2.2 焊接过程操作,"（15）焊接
①打底层的焊接
②填充层的焊接
③盖面层的焊接",,,
,,,,"（16）焊条电弧焊基本操作要领
①焊接姿势
②焊条电弧焊引弧
③焊条电弧焊运条
④焊条电弧焊接头
⑤焊条电弧焊收弧",,操作＋讲解,480
,,1.3 焊后检查,1.3.1 接头表面清理,"（17）焊后清理
①清理要求
②清理内容",,PPT＋讲解,120
,,,1.3.2 焊后质量自检,"（18）常见缺陷及其识别预防
①咬边、错边的产生及预防
②焊瘤的产生及预防
③焊缝不平直度产生及预防
④烧穿的产生及预防
⑤弧坑的产生及预防",,,
,,,,"（19）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,操作+讲解,120
,"2.低碳钢或低合金钢板对接平焊焊条电弧焊
",2.1 焊前准备,2.1.1 安全检查,（1）焊条电弧焊常用工机具,,操作+讲解,240
,,,,"（2）焊条电弧焊常用夹具
①拉紧器     
②管口钳",,,
,,,,"（3）设备工机具安全检查
①焊机安全检查
②电焊钳安全检查
③焊接电缆安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,（4）焊接参数确认与调节,,,
,,,,"（5）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（6）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,,,,,180
,,,2.1.2 坡口准备及定位,"（7）材料准备
①试件准备
②焊材准备",,,
,,,,"（8）焊前清理
①清理范围
②清理方法",,,240
,,,,,,,120
,,,,（9）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,
,,,,（10）工件组对和定位焊,,操作+PPT+讲解,
,,,2.1.3 预留反变形量,"（11）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,60
,,,,,,,300
,,,,,,,120
,,2.2 焊接操作,2.2.1 焊接参数选择,"（12）焊接参数选择与调节
①焊缝层次和焊道数
②焊条直径选择
③焊接电流选择
④运条方法选择                                        ⑤了解焊接参数对焊缝成形的影响",,,60
,,,2.2.2 焊接过程操作,"（13）焊接
①打底层的焊接
②填充层的焊接
③盖面层的焊接",,PPT＋讲解,240
,,,,"（14）对接平焊基本操作要领
①焊接姿势
②焊条电弧焊引弧
③焊条电弧焊运条
④焊条电弧焊接头
⑤焊条电弧焊收弧",,,
,,,2.2.3 背面清根处理,"（15）双面焊根部焊道背面清根
①清根目的
②清根工机具
③清根工艺",,,
,,2.3 焊后检查,2.3.1 接头表面清理,"（16）焊后清理
①清理要求
②清理内容",,PPT＋讲解,300
,,,2.3.2 焊后质量自检,"（17）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,操作＋讲解,480
,"3.低碳钢或低合金钢管对接水平转动焊条电弧焊
",3.1 焊前准备,3.1.1 安全检查,（1）焊条电弧焊常用工机具,,操作+讲解,240
,,,,"（2）焊条电弧焊常用夹具
①拉紧器     
②管口钳",,,
,,,,"（3）设备工机具安全检查
①焊机安全检查
②电焊钳安全检查
③焊接电缆安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,（4）焊接参数确认与调节,,,
,,,,"（5）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（6）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,,,,,180
,,,3.1.2 坡口准备及定位,"（7）材料准备
①试件准备
②焊材准备",,,
,,,,"（8）焊前清理
①清理范围
②清理方法",,,240
,,,,,,,120
,,,,（9）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,
,,,,（10）工件组对和定位焊,,操作+PPT+讲解,
,,3.2 焊接操作,3.2.1 焊接参数选择,"（11）焊接参数选择与调节
①焊缝层次和焊道数
②焊条直径选择
③焊接电流选择
④运条方法选择                                        ⑤了解焊接参数对焊缝成形的影响",,,60
,,,3.2.2 焊接过程操作,"（12）焊接
①打底层的焊接
②填充层的焊接
③盖面层的焊接",,,300
,,,,"（13）对接平焊基本操作要领
①焊接姿势
②焊条电弧焊引弧
③焊条电弧焊运条
④焊条电弧焊接头
⑤焊条电弧焊收弧",,,120
,,3.3 焊后检查,3.3.1 接头表面清理,"（14）焊后清理
①清理要求
②清理内容",,,60
,,,3.3.2 焊后质量自检,"（15）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,PPT＋讲解,240
,,,,,,PPT＋讲解,300
,"4.低碳钢或低合金钢板角接或Ｔ形接头平焊熔化极气体保护焊
",4.1 焊前准备,4.1.1 安全检查,（1）二氧化碳气保焊的原理、分类及应用,,操作+讲解,240
,,,,"（2）二氧化碳气体保护焊设备
①焊机
②送丝系统
③供气系统                              ④变位机械",,,
,,,,"（3）二氧化碳气体保护焊焊接参数
①焊丝直径
②焊接电流
③电弧电压
④焊接速度
⑤焊丝伸出长度
⑥气体流量
⑦电源极性",,,
,,,,"（4）焊接材料
①二氧化碳气体
②焊丝                         ",,,
,,,,（5）二氧化碳气体保护焊常用工机具,,,
,,,,"（6）二氧化碳气体保护焊常用夹具
①拉紧器     
②管口钳
③大力钳",,,
,,,,"（7）二氧化碳气体保护焊设备工机具安全检查
①焊机安全检查
②供气系统安全检查
③送丝系统安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,180
,,,,"（8）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,240
,,,,"（9）工作环境安全检查
①高空安全防护
②通风和消防",,,120
,,,4.1.2 坡口准备及定位,"（10）焊前清理
①清理范围
②清理方法",,,
,,,,"（11）材料准备
①试件准备
②焊材准备",,,
,,,,（12）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,操作+PPT+讲解,
,,,,,,,60
,,,,,,,300
,,,,,,,120
,,,,"（13）组对及定位焊
①组队
②定位焊",,,60
