等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
初级,1.低碳钢或低合金钢板角接或T形接头平焊焊条电弧焊,1.焊前准备,（1）焊前安全检查,"焊接设备安全检查
1、焊机
2、焊接电缆
3、变位机械
4、焊条烘干箱",,操作视频,360
,,,,"焊条电弧焊常用夹具安全检查
1、拉紧器
2、管口钳",,,240
,,,,"劳动保护用品检查
1、面罩和护目镜
2、工作服和工作鞋
3、耳塞等",,,300
,,,,"工作环境安全检查
1、高空安全防护
2、通风和消防",,,120
,,,（2）焊前准备,坡口准备                                             1、选择坡口的原则                                      2、坡口制备方法                                              3、坡口清洁,,操作+PPT+讲解,
,,,,,,,60
,,,,,,,300
,,,,,,,120
,,,,工件定位焊,,,60
,,,（3）焊接变形和焊接应力,"焊接变形和应力控制
1、预防和矫正焊接变形的方法及措施
2、控制和减少焊接应力的方法和措施",,PPT+讲解,240
,,2.焊接操作,（1）焊接参数选择,"焊接参数选择
1、焊缝层次和焊道数
2、焊条直径选择
3、焊接电流选择
4、运条方法选择",,PPT+讲解,300
,,,（2）焊接操作方法,"焊接操作方法
1、引弧操作
2、运条操作
3、收弧操作",,操作视频,
,,,,,,,120
,,,,,,,240
,,,,,,,120
,,3.焊后检查,（1）接头表面清理,T型接头表面清理要领,,操作+讲解,240
,,,（2）焊后质量检测,"焊后质量检测
1、常见缺陷及其识别预防
2、焊接外观质量检查",,操作+讲解,240
,2.低碳钢或低合金钢板对接平焊焊条电弧焊,1.焊前准备,（1）焊前安全检查,"焊接设备安全检查
1、焊机
2、焊接电缆
3、变位机械
4、焊条烘干箱",,略有差别,
,,,,"焊条电弧焊常用夹具安全检查
1、拉紧器
2、管口钳",,,
,,,,"劳动保护用品检查
1、面罩和护目镜
2、工作服和工作鞋
3、耳塞等",,,
,,,,"工作环境安全检查
1、高空安全防护
2、通风和消防",,,
,,,（2）焊前准备,坡口准备                                             1、选择坡口的原则                                      2、坡口制备方法                                              3、坡口清洁,,,
,,,,工件定位焊,,,
,,,（3）焊接变形和焊接应力,"焊接变形和应力控制
1、预防和矫正焊接变形的方法及措施
2、控制和减少焊接应力的方法和措施",,,
,,2.焊接操作,（1）焊接参数选择,"焊接参数选择
1、焊缝层次和焊道数
2、焊条直径选择
3、焊接电流选择
4、运条方法选择",,PPT+讲解,240
,,,（2）焊接操作方法,"焊接操作方法
1、引弧操作
2、运条操作
3、收弧操作",,操作视频,
,,,,,,,120
,,,,,,,240
,,,,,,,120
,,,（3）焊道背面清根,焊条电弧焊双面焊根部焊道背面清根处理,,操作+讲解,120
,,3.焊后检查,（1）接头表面清理,平焊接头表面清理要领,,操作+讲解,180
,,,（2）焊后质量检测,"焊后质量检测
1、常见缺陷及其识别预防
2、焊接外观质量检查",,PPT+讲解,120
,3.低碳钢或低合金钢管对接水平转动焊条电弧焊,1.焊前准备,（1）焊前安全检查,"焊接设备安全检查
1、焊机
2、焊接电缆
3、变位机械
4、焊条烘干箱",,略有差别,
,,,,"焊条电弧焊常用夹具安全检查
1、拉紧器
2、管口钳",,,
,,,,"劳动保护用品检查
1、面罩和护目镜
2、工作服和工作鞋
3、耳塞等",,,
,,,,"工作环境安全检查
1、高空安全防护
2、通风和消防",,,
,,,（2）焊前准备,坡口准备                                             1、选择坡口的原则                                      2、坡口制备方法                                              3、坡口清洁,,,
,,,,工件定位焊,,,
,,,（3）焊接变形和焊接应力,"焊接变形和应力控制
1、预防和矫正焊接变形的方法及措施
2、控制和减少焊接应力的方法和措施",,,
,,2.焊接操作,（1）焊接参数选择,"焊接参数选择
1、焊缝层次和焊道数
2、焊条直径选择
3、焊接电流选择
4、运条方法选择",,PPT+讲解,240
,,,（2）焊接操作方法,"焊接操作方法
1、引弧操作
2、运条操作
3、收弧操作",,操作视频,
,,,,,,,120
,,,,,,,240
,,,,,,,120
,,3.焊后检查,（1）接头表面清理,水平转动管接头表面清理要领,,操作+讲解,120
,,,（2）焊后质量检测,"焊后质量检测
1、常见缺陷及其识别预防
2、焊接外观质量检查",,PPT+讲解,180
合计,,,,,,,5220
转化分钟,,,,,,,87
焊条电弧焊职业技能鉴定（中级）,,,,,,,
等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长
中级,1.管板插入式或骑座式全焊透角接头焊条电弧焊,1.焊前准备,（1）焊前安全检查,"焊接设备安全检查
1、焊机
2、焊接电缆
3、变位机械
4、焊条烘干箱",,略有差别,
,,,,"焊条电弧焊常用夹具安全检查
1、拉紧器
2、管口钳",,,
,,,,"劳动保护用品检查
1、面罩和护目镜
2、工作服和工作鞋
3、耳塞等",,,
